input_url,post_id,owner_username,timestamp,type,likes,caption,comment_id,text,username
https://www.instagram.com/p/DGVP1jDybMG,3572831529862804230,skintificid,2025-02-21,image,1530,"Peeling for sensitive skin? Let’s find out!🎊

Kamu bisa aplikasikan Sensitive Moisture Gel yang kamu miliki dengan produk eksfoliasi lho, Skintizen. Salah satunya adalah menggunakan Peeling Solution. Yuk simak step-by-step ini agar tidak keliru!🍒

Kasih tahu di kolom komentar dong kombinasi moist dan produk eksfoliasi SKINTIFIC andalanmu!🤹🏻‍♀️
#SKINTIFIC #skintificid #SensitiveMoistureGel #recommendedmoisturizer",18313644523203228,mau nyobain peeling solution nya💙,shrntrnda_
https://www.instagram.com/p/DGVP1jDybMG,3572831529862804230,skintificid,2025-02-21,image,1530,"Peeling for sensitive skin? Let’s find out!🎊

Kamu bisa aplikasikan Sensitive Moisture Gel yang kamu miliki dengan produk eksfoliasi lho, Skintizen. Salah satunya adalah menggunakan Peeling Solution. Yuk simak step-by-step ini agar tidak keliru!🍒

Kasih tahu di kolom komentar dong kombinasi moist dan produk eksfoliasi SKINTIFIC andalanmu!🤹🏻‍♀️
#SKINTIFIC #skintificid #SensitiveMoistureGel #recommendedmoisturizer",17845556961412172,Duhhh pingin punya semua paketnyaaa💙,nurainibinsyekhabubakar
https://www.instagram.com/p/DGVP1jDybMG,3572831529862804230,skintificid,2025-02-21,image,1530,"Peeling for sensitive skin? Let’s find out!🎊

Kamu bisa aplikasikan Sensitive Moisture Gel yang kamu miliki dengan produk eksfoliasi lho, Skintizen. Salah satunya adalah menggunakan Peeling Solution. Yuk simak step-by-step ini agar tidak keliru!🍒

Kasih tahu di kolom komentar dong kombinasi moist dan produk eksfoliasi SKINTIFIC andalanmu!🤹🏻‍♀️
#SKINTIFIC #skintificid #SensitiveMoistureGel #recommendedmoisturizer",17902008102132260,Banyak Yg recommended bagUs dan Cucok dr semua Produk skintifik 💙💙,grasheilla_86
https://www.instagram.com/p/DGVP1jDybMG,3572831529862804230,skintificid,2025-02-21,image,1530,"Peeling for sensitive skin? Let’s find out!🎊

Kamu bisa aplikasikan Sensitive Moisture Gel yang kamu miliki dengan produk eksfoliasi lho, Skintizen. Salah satunya adalah menggunakan Peeling Solution. Yuk simak step-by-step ini agar tidak keliru!🍒

Kasih tahu di kolom komentar dong kombinasi moist dan produk eksfoliasi SKINTIFIC andalanmu!🤹🏻‍♀️
#SKINTIFIC #skintificid #SensitiveMoistureGel #recommendedmoisturizer",18032686691296922,😍❤️😍❤️😍,annnaaaaa_03
https://www.instagram.com/p/DGVP1jDybMG,3572831529862804230,skintificid,2025-02-21,image,1530,"Peeling for sensitive skin? Let’s find out!🎊

Kamu bisa aplikasikan Sensitive Moisture Gel yang kamu miliki dengan produk eksfoliasi lho, Skintizen. Salah satunya adalah menggunakan Peeling Solution. Yuk simak step-by-step ini agar tidak keliru!🍒

Kasih tahu di kolom komentar dong kombinasi moist dan produk eksfoliasi SKINTIFIC andalanmu!🤹🏻‍♀️
#SKINTIFIC #skintificid #SensitiveMoistureGel #recommendedmoisturizer",17894621064172451,Sangat rekomen buat kulit sensitif ya..,sissy_073
https://www.instagram.com/p/DGVP1jDybMG,3572831529862804230,skintificid,2025-02-21,image,1530,"Peeling for sensitive skin? Let’s find out!🎊

Kamu bisa aplikasikan Sensitive Moisture Gel yang kamu miliki dengan produk eksfoliasi lho, Skintizen. Salah satunya adalah menggunakan Peeling Solution. Yuk simak step-by-step ini agar tidak keliru!🍒

Kasih tahu di kolom komentar dong kombinasi moist dan produk eksfoliasi SKINTIFIC andalanmu!🤹🏻‍♀️
#SKINTIFIC #skintificid #SensitiveMoistureGel #recommendedmoisturizer",18080616538560676,@keenan_putrii20 harus punyaa,skintificid
https://www.instagram.com/p/DGVP1jDybMG,3572831529862804230,skintificid,2025-02-21,image,1530,"Peeling for sensitive skin? Let’s find out!🎊

Kamu bisa aplikasikan Sensitive Moisture Gel yang kamu miliki dengan produk eksfoliasi lho, Skintizen. Salah satunya adalah menggunakan Peeling Solution. Yuk simak step-by-step ini agar tidak keliru!🍒

Kasih tahu di kolom komentar dong kombinasi moist dan produk eksfoliasi SKINTIFIC andalanmu!🤹🏻‍♀️
#SKINTIFIC #skintificid #SensitiveMoistureGel #recommendedmoisturizer",17953852601916447,@shrntrnda_ cusss cobain dehhh Peeling Serum andalan Skintizen saat ini😍,skintificid
https://www.instagram.com/p/DGVP1jDybMG,3572831529862804230,skintificid,2025-02-21,image,1530,"Peeling for sensitive skin? Let’s find out!🎊

Kamu bisa aplikasikan Sensitive Moisture Gel yang kamu miliki dengan produk eksfoliasi lho, Skintizen. Salah satunya adalah menggunakan Peeling Solution. Yuk simak step-by-step ini agar tidak keliru!🍒

Kasih tahu di kolom komentar dong kombinasi moist dan produk eksfoliasi SKINTIFIC andalanmu!🤹🏻‍♀️
#SKINTIFIC #skintificid #SensitiveMoistureGel #recommendedmoisturizer",17953387130787111,@s.fatimah__03 betull😍,skintificid
https://www.instagram.com/p/DGVP1jDybMG,3572831529862804230,skintificid,2025-02-21,image,1530,"Peeling for sensitive skin? Let’s find out!🎊

Kamu bisa aplikasikan Sensitive Moisture Gel yang kamu miliki dengan produk eksfoliasi lho, Skintizen. Salah satunya adalah menggunakan Peeling Solution. Yuk simak step-by-step ini agar tidak keliru!🍒

Kasih tahu di kolom komentar dong kombinasi moist dan produk eksfoliasi SKINTIFIC andalanmu!🤹🏻‍♀️
#SKINTIFIC #skintificid #SensitiveMoistureGel #recommendedmoisturizer",18097371817517210,Wajib punya pokoknya titik,deasnii_45
https://www.instagram.com/p/DGVP1jDybMG,3572831529862804230,skintificid,2025-02-21,image,1530,"Peeling for sensitive skin? Let’s find out!🎊

Kamu bisa aplikasikan Sensitive Moisture Gel yang kamu miliki dengan produk eksfoliasi lho, Skintizen. Salah satunya adalah menggunakan Peeling Solution. Yuk simak step-by-step ini agar tidak keliru!🍒

Kasih tahu di kolom komentar dong kombinasi moist dan produk eksfoliasi SKINTIFIC andalanmu!🤹🏻‍♀️
#SKINTIFIC #skintificid #SensitiveMoistureGel #recommendedmoisturizer",18059738347835855,Mau💙,lena_putrii19
